བོད་ཕྱི་ནང་།,Tibetan Title,BO,EN,English Title,Author,Translator,བརྗོད་བྱ།,བསྒྱུར་གཞི།,དཔེ་སྐྲུན་ཁང་།,དཔར་ལོ།,ཤོག་གྲངས།,BDRC བརྩམས་ཆོས།,Translation Segment pairs
ནང་།,ང་ནི་མཱ་ལ་ལ་ཡིན།,BO0153,EN0153,I am Malala,,,ལོ་རྒྱུས།,,,,,,2375
ཕྱི།,རང་དབང་གསར་འགྱུར་འཇུག་སྒོ།,BO0154,EN0154,handbook of independent journalism by Deborah potter,,,གསར་འགོད།,,,,,,1275
ནང་།,ཤེས་རིག་སྨྲ་བའི་བསྡུས་དོན། ,BO0155,EN0155,An Outline of a Theory of Civilization,fukuzawa yukichi  ཧྥོའུ་ཁོའུ་ཛ་བཱ་ཡོའུ་ཁིས་ཆིས།,ཆ་རིས་སྐལ་བཟང་ཐོགས་མེད།,རྩོམ་རིག,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།,2002.0,268,,1975
ནང་།,ཆོས་ལུགས་ཀྱི་ངོ་བོའི་རྣམ་བཤད། ,BO0157,EN0157,The Essence of Religion ,ཧྥེ་ཨར་པ་ཧ། (འཇར་མན།),སྒོ་མེ་བཀྲ་ཤིས་ཟླ་བ།,ཆོས་ལུགས།,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།,2002.0,132,,568
ནང་།,མི་ཚེའི་མངོན་རྟོགས་མྱོང་གྲུབ། ,BO0161,EN0161,The Realisation of Life,ར་བཱིན་དྲ་ནཱཐ་ཐེ་གོར།,ཆ་རིས་སྐལ་བཟང་ཐོགས་མེད།,,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།,2002.0,198,,1488
ཕྱི།,ཆབ་མདོའི་གངས་སེང་ཞིག,BO0168,EN0168,THE LION FROM CHAMDO,དབུ་དཀར་ཚང་གཡུ་སྒྲོན།,ཌོག་ཋར་མཆོག་བསྟན་འཛིན་སྨོན་ལམ།,ལོ་རྒྱུས།,དབྱིན་ཡིག,,,,,175
ནང་།,བྱ་ལེན་མ་མངོན་པར་ཤེས་པའི་ཟློས་གར།,BO0173,EN0173,Sacontala: the Fatal Ring,ནག་མོ་ཁོལ། ,ཨོ་རྒྱན།,ཟློས་གར།,རྒྱ་ཡིག,མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2009.0,251,,612
ནང་།,ཚོང་ལས་ཀྱི་ངོ་བོ།,BO0179,EN0179,The Real Life MBA,Jack Welch and Suzy Welch,གསེར་ཐང་གདུགས་དཀར་ཚེ་རིང་། སོ་ནག་ཚེ་རིང་བཀྲ་ཤིས།,དཔལ་འབྱོར།,རྒྱ་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2023.0,,,323
ནང་།,སློབ་གསོ་གླེང་བ།,BO0183,EN0183,On Education,J.krishnamurti ཀི་ཤ་ན་མུར་ཏི།,དབང་ཆེན་རྡོ་རྗེ།,སློབ་གསོ།,དབྱིན་ཡིག,ཀྲུང་གོ་རྒྱལ་སྤྱིའི་སྐད་ཡིག་དཔེ་སྐྲུན་ཁང་།,2017.0,335,,1487
ཕྱི།,ལཱ་ཐི་ཝི་ཡའི་རང་བཙན་རྩོད་ལེན་ལས་འགུལ་ཁྲོད་ཀྱི་འཚེ་མེད་ཞི་བའི་ལས་འགུལ་སྐོར།,BO0186,EN0186,nonviolent action in the liberation of latvia,Olgerts Eglitis,བཀའ་ཐུབ་རྒྱལ།,ཆབ་སྲིད།,རྒྱ་ཡིག,བོད་ཀྱི་ཡིག་སྒྱུར་ཁང་།,2005.0,170,,460
ནང་།,མི་གཤིས་ཀྱི་གཉོམ་སོ། སྟོད་ཆ། ,BO0194,EN0194,How to win friends and influence people,dale carnegie ཏེ་ཨོ་ཁར་ནི་གེ། ,འཇུ་སྐལ་བཟང་།,སློབ་གསོ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང༌།,2014.0,251,,705
ནང་།,རོ་མེའོ་དང་ཇུ་ལིཀྲི། ,BO0212,EN0212,Romeo and Juliet,,བྲག་གདོང་བཀྲས་གླིང་དབང་རྡོར།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,བོད་ལྗོངས་མི་དམངས་དཔེ་སྐྲུན་ཁང་།,2003.0,312,,1175
ནང་།,གཡུ་གཅལ་ལྷ་ལམ།,BO0003,EN0003,,Lyman Frank Baum,གྲ་གཉེར་ཚེ་རྒྱལ།,བྱིས་སྒྲུང་།,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2013.0,294,,1510
ནང་།,ཤིང་བྱིས་ཕི་ནུའོ་ཚོའི་ཡི་གཏམ་རྒྱུད།,BO0222,EN0222,le avventure di pinocchio,ཁོ་ལོའུ་ཏི། C.CollOdi,བོང་སྟག་ཕུན་ཚོགས།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2002.0,220,,1695
ནང་།,ནུབ་པར་གྱུར་པའི་ཞིང་ཁམས།,BO0053,EN0053,Lost horizon,James Hilton དབྱིན་ཇི་བ་འཇེམ་སི་ཞུས་ཨར་ཏུན།,གཉལ་བུ་བཟང་དགྲ་འདུལ།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2011.0,519,,2188
ནང་།,སྐད་རྒྱུན་སྟོང་བ།,BO0113,EN0113,Language death,DAVID CRYSTAL,སྐལ་བཟང་ཡེ་ཤེས།,སྐད་ཡིག,དབྱིན་ཡིག,བོད་ལྗོངས་མི་དམངས་དཔེ་སྐྲུན་ཁང་།,2018.0,425,,1727
ནང་།,སྡོམ་ཆར་ལོའི་དྲ་བ།,BO0229,EN0229,Charlotte's Web Hardcover by E. B White,E-B ཧེའི་ཐོ།(ཨ་རི།),སྦྲགས་པ་པདྨ་དབང་རྒྱལ།,སྒྲུང་གཏམ།,,བོད་ལྗོངས་མི་དམངས་དཔེ་སྐྲུན་ཁང་།,,,,1802
ནང་།,ལྕམ་བྷོ་ཝཱ་རི།,BO0230,EN0230,Madame Bovary,Gustave Flauvert,རྡོ་རྗེ་ཚེ་བརྟན།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,,2022.0,,,5568
ནང་།,གཅིག་དགུ་གྱ་བཞི།,BO0008,EN0008,Nineteen eighty four,George Orwell ,རྡོ་རྗེ་ཚེ་བརྟན།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2014.0,635,,6879
ནང་།,བྱོལ་སོང་གཞིས་ཀ,BO0010,EN0010,Animal Farm ,George Orwell,རྡོ་རྗེ་ཚེ་བརྟན།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2011.0,213,,747
ནང་།,གྷི་ཐན་ཀཱ་ལི།,BO0236,EN0236,GITANJALI,ར་བཱིན་དྲ་ནཱཐ་ཐེ་གོར།,ཕུན་ནོར།,སྙན་ངག,རྒྱ་ཡིག,བོད་ལྗོངས་མི་དམངས་དཔེ་སྐྲུན་ཁང་།,2002.0,88,,617
ནང་།,འ་འུར་རི་གྲོང་།,BO0237,EN0237,Wuthering Heights,Emily Brontë,བྱང་མོ་སྐྱིད།,སྒྲུང་གཏམ།,,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,722
ནང་།,གྷི་རེམ་སི་བུ་སྤུན་གཉིས་ཀྱི་བྱིས་སྒྲུང་།,BO0241,EN0241,The complete fairy tales of the Brothers Grimm,,ཨ་སྐྱིད་ཚེ་ལྷ་སྐྱབས།,བྱིས་སྒྲུང་།,,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,927
ནང་།,རྒྱ་ཕིབས་ལྗང་མདོག་མཁར་གྲོང་གི་བུ་མོ་ཨན་ནེ།,BO0061,EN0061,Anne of Green Gables,Lucy Maud Montgomery,,སྒྲུང་གཏམ།,,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,1299
ནང་།,བྷེའེ་ཁིན་གྱི་ཐོར་རྩོམ།,BO0062,EN0062,Essays of Bacon,Francis Bacon,ཚེ་བརྟན།,རྩོམ་རིག,,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,543
ནང་།,རང་གི་འདོད་པ་ལྟར་གྱི་མི་ཞིག་བྱ།,BO0248,EN0248,As A Man Thinketh,དབྱིན་ཇི། ཇེམ་སི་འེ་ལུན།,ལྷ་བྱམས་རྒྱལ།,སློབ་གསོ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,220
ནང་།,ངེད་ཀྱི་མི་ཚེའི་གཏམ་རྒྱུད།,BO0063,EN0063,The Story of my life,ཨ་རི། ཧད་ལེཎ་ཁད་ལེར། Helen Keller,ཕུན་ནོར།,སློབ་གསོ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,1521
ནང་།,བྱི་ལ་ནག་པོ།,BO0252,EN0252,The Black Cat,ཨ་རི། ཨའེ་ལུན་ཕུ། Edgar Allan Poe,འབྲོང་བུ་རྡོ་རྗེ་རིན་ཆེན།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,2259
ནང་།,གཟུགས་འགྱུར་ཟིན་ཐོ།,BO0253,EN0253,Metamorphosis,ཨོ་སི་ཁྲུ་རི་ཡ། ཧྥུ་རན་ཛི་ཁཱ་ཧྥུ་ཁ།,སྤེན་པ་དོན་གྲུབ།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,3122
ནང་།,དུང་ཟླ་དང་དོང་ཙེ་དྲུག,BO0254,EN0254,THE MOON AND SIXPENCE,དབྱིན་ཇི། མའོ་མུའུ།,རང་སྒྲ།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,4388
ནང་།,མདོག་འགྱུར་ད་བྱིད།,BO0255,EN0255,The Chameleon,ཨུ་རུ་སུ། ཆི་ཧོ་ཧྥུ།,ཚེ་འབར།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,3511
ནང་།,རྒྱུས་མེད་པའི་བུད་མེད་ཅིག་གི་འཕྲིན་ཡིག,BO0256,EN0256,Letter from an Unknown Woman,ཨོ་སི་ཁྲུ་རི་ཡ། ཟི་ཝེ་ཀེ།,རྣམ་སྲས།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,2346
ནང་།,མའེ་ཆིའི་ལེགས་སྐྱེས།,BO0258,EN0258,The Gift of the Magi,ཨ་རི། ཨའོ་ཧིན་ལི།,བཀྲ་ཤིས་དོན་གྲུབ་དང་པདྨ་དབང་ཆེན།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,311
ནང་།,འབྲོག་སྟོང་གི་འབོད་སྐད།,BO0259,EN0259,The Call of the Wild,ཨ་རི། འཇེག་ལོན་ཏོན།,ཕུན་ནོར།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,4292
ནང་།,བརྩེ་བའི་སློབ་གསོ།,BO0267,EN0267,Cuore,དྷེ་ཨ་མི་ཆི་སི། edmondo de amicis,སྟག་འབུམ་རྒྱལ།,སློབ་གསོ།,རྒྱ་ཡིག,ཀན་སུའུ་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,4112
ནང་།,གཞོན་ནུ་མ་ཞིག་གི་ཉིན་ཐོ།,BO0040,EN0040,The Diary of a young girl,Frank Anne ཨེ་ན་ཧྥུ་རེན་ཁི།,བློ་བཟང་མཁྱེན་བརྩེ། བཀྲ་ཤིས་དཔལ་སྒྲོན།,ཉིན་ཐོ།,དབྱིན་ཡིག,སིི་ཁྲོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2017.0,511,,5334
ནང་།,ཁེ་ལས་གསར་གཉེར་སྐོར་གྱི་ཉམས་མྱོང་གླེང་བ།,BO0271,EN0271,Think like a champion by Donald Trump,ཨ་རིའི་སྲིད་འཛིན་ཁྲི་རཱམ་པི།,བསོད་ནམས། མྱི་གསོན་པོ།,དཔལ་འབྱོར།,དབྱིན་ཡིག,ཀྲུང་གོའི་མི་དམངས་སློབ་ཆེན་དཔེ་སྐྲུན་ཁང་།,,,,1085
ནང་།,ཤེས་རབ་སྙིང་པོའི་འགྲེལ་བ་གསར་མ།,BO0272,EN0272,,གནས་བརྟན་ཐིག་ནཏ་ཧཱན།,བསོད་ནམས་རྒྱལ།,ནང་ཆོས།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,,,,729
ནང་།,ཎལ་སིན་མཎ་དྷ་ལའི་རྟོགས་བརྗོད།,BO0273,EN0273,Nelson Mandela,Katie Daynes,མྱི་གསོན་པོ།,ལོ་རྒྱུས།,དབྱིན་ཡིག,ཁྲང་ཅིང་རིག་རྩལ་དཔེ་སྐྲུན་ཁང་།,,,,421
ནང་།,མ་ལ་ལཱའི་དགོས་འདོད་ཀུན་འབྱུང་གི་ཞ་སྨྱུག,BO0277,EN0277,Malala's Magic Pencil,མ་ལ་ལཱ།,མྱི་གསོན་པོ།,,དབྱིན་ཡིག,མི་དམངས་སྦྲག་སྲིད་དཔེ་སྐྲུན་ཁང་།,,,,74
ནང་།,རྒྱ་མཚོའི་ཀློང་གི་གསོལ་འདེབས།,BO0066,EN0066,sea prayer,"Hosseini, Khaled ཁཱ་ལེ་དྷི་ཧོ་སཱ་ནེ།",མྱི་གསོན་པོ།,,དབྱིན་ཡིག,ཧྲང་ཧེ་མི་དམངས་དཔེ་སྐྲུན་ཁང་།,,,,34
ནང་།,༡ ཆུ་ཡིས་དྲིས་ལན་ཤེས། ཆུ་ཡི་ཞུན་ཆགས་ནང་གི་སྦས་པའི་བརྡ་འཕྲིན།,BO0282,EN0282,The Hidden Messages in Water by Masaru Emoto,ཅང་པིང་ཧྲིང་། Masaru Emoto,འཇམ་དབྱངས་བློ་གྲོས།,ཚན་རིག,རྒྱ་ཡིག,བོད་ལྗོངས་བོད་ཡིག་དཔེ་རྙིང་དཔེ་སྐྲུན་ཁང་།,2016.0,,,715
ནང་།,སྐྱེ་བ་སྔ་ཕྱི།,BO0054,EN0054,"Many Lives, Many Masters",Brian L. Weiss ཨ་རི། པུ་ལེན་ཝེ་སི།,འཇམ་དབྱངས་བློ་གྲོས།,ཚན་རིག,རྒྱ་ཡིག,སི་ཁྲོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,3860
ནང་།,གཞལ་མེད་དྲྭ་བ།,BO0111,EN0111,Divine Matrix , Gregg Braden ཨ་རི། འགི་ལིས་འགི་པུ་ལིས་ཏིང་།,འཇམ་དབྱངས་བློ་གྲོས།,ཚན་རིག,རྒྱ་ཡིག,སི་ཁྲོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,2938
ནང་།,རྣམ་ཤེས་ཀྱི་ནུས་པའི་གསང་བ། ༡,BO0112,EN0112,The Intention Experiment,Lynne McTaggart ཨ་རི། ལིན་ནེ་མའེ་ཁོ་ཐ་ཀོ་ཐེ།,འཇམ་དབྱངས་བློ་གྲོས།,ཚན་རིག,རྒྱ་ཡིག,བོད་ལྗོངས་བོད་ཡིག་དཔེ་རྙིང་དཔེ་སྐྲུན་ཁང་།,,,,3191
ནང་།,རྣམ་ཤེས་ཀྱི་ནུས་པའི་གསང་བ། ༢,BO0286,EN0286,The Bond: Connecting Through the Space Between Us,Lynne McTaggart ཨ་རི། ལིན་ན་མེ་ཁི་ད་ཁི་ཐི།,འཇམ་དབྱངས་བློ་གྲོས།,ཚན་རིག,རྒྱ་ཡིག,བོད་ལྗོངས་བོད་ཡིག་དཔེ་རྙིང་དཔེ་སྐྲུན་ཁང་།,,,,2943
ནང་།,བརྩེ་བའི་ལྗོན་བཟང་། ,BO0034,EN0034,The Giving Tree,སིལ་ཝེར་སིན། ,སྒྲོལ་དཀར་ཚེ་རིང་།,བྱིས་སྒྲུང་།,རྒྱ་ཡིག,ཧྲང་ཧའེ་མཐོ་རིམ་ཤེས་རིག་ཁྱབ་སྤེལ་དཔེ་སྐྲུན་ཁང་། ,2019.0,,,26
ནང་།,འཇིག་རྟེན་འདི་རྒུད་པའི་གཡང་དུ་ལྷུང་།,BO0308,EN0308,Things Fall Apart,Chinua Achebe,སྒོ་མེ་ཚེ་རིང་བཀྲ་ཤིས།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,3235
ནང་།,གྲོ་ཞིང་ཁའི་སྲུང་མ།,BO0310,EN0310,The Catcher in the RYE,ཨ་རི། ལྗེ་རོམ་ཌ་ཝིད་ས་ལིན་གྷེར།,ཚེ་རིང་བསམ་འགྲུབ།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,3669
ནང་།,རྒྱལ་སྲས་ཆུང་ཆུང་།,BO0051,EN0051,The little prince,Antoine de Saint-Exupéry,ལྡོང་བུ།,སྒྲུང་གཏམ།,རྒྱ་ཡིིག,མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2016.0,,,967
ནང་།,ཁེ་ལས་གསར་བའི་འབྱུང་ཁུངས་དང་འཕེལ་འགྱུར།,BO0314,EN0314,The Origin and Evolution of New Businesses,Amar V.Bhide,སྐལ་བཟང་རིན་ཆེན། རྟ་མགྲིན་བཀྲ་ཤིས།,དཔལ་འབྱོར།,དབྱིན་ཡིག,མི་རིགས་དཔེ་སྐྲུན་ཁང་།,,,,4932
ཕྱི།,ཆེས་མཐའ་མཇུག་གི་གསང་བ། ,BO0318,EN0318,The Return of Sherlock Holmes and Other Stories,,རྔ་བ་ཆོས་གྲགས།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,སྒེར་གྱི་པར་མ།,2002.0,143,,463
ཕྱི།,བོད་མི་གསར་བརྗེ་བ་ཞིག འབའ་པ་ཕུན་ཚོགས་དབང་རྒྱལ་གྱི་སྲིད་དོན་མི་ཚེ་དང་དུས་སྐབས།,BO0114,EN0114,A Tibetan Revolutionary: The Political Life and Times of Bapa Phüntso Wangye,འབའ་པ་ཕུན་ཚོགས་དབང་རྒྱལ། ,ཆུང་ཚེ་རིང་།,ལོ་རྒྱུས།,དབྱིན་ཡིག,བོད་ཀྱི་དུས་བབ་གསར་ཁང་།,2006.0,673,,5603
ཕྱི།,ང་ལ་རྨི་ལམ་ཞིག་ཡོད།,BO0046,EN0046,I have a dream,མར་ཏིན་ལུ་ཐར་ཁིན།,དཔལ་ལྡན་རྒྱལ།,ཆབ་སྲིད།,དབྱིན་ཡིག,བོད་ཀྱི་དུས་བབ་གསར་ཁང་།,2006.0,,,76
ཕྱི།,བྱིས་དུས་ཀྱི་སློབ་གསོ་གླེང་བ། ,BO0329,EN0329,On Education. Especially in early childhood,Bertrand Russell བྷིར་ཋི་རན་ཌི་རཱ་སེལ། , འཕྲིན་ལས་རྒྱ་མཚོ། ,སློབ་གསོ།,དབྱིན་ཡིག,སྒེར་གྱི་པར་མ།(རྒྱ་གར།),2012.0,300,,2853
ཕྱི།,མཉམ་འབྲེལ་རྒྱལ་ཚོགས་ཀྱི་བཅའ་ཁྲིམས།,BO0339,EN0339,,,ཚ་ཁོ་ཁྲོ་ཆུ་བ་ཐུབ་བསྟན་རྒྱ་མཚོ།,ཁྲིམས་ཡིག,དབྱིན་ཡིག,བོད་ཀྱི་གྲོས་ཚོགས་དང་སྲིད་བྱུས་ཉམས་ཞིབ་ཁང་།,2010.0,76,,208
ཕྱི།,བོད་ཀྱི་གནས་བབས། རྒྱལ་སྤྱིའི་ཁྲིམས་དོན་གྱི་ལོ་རྒྱུས་དང་། ཐོབ་ཐང་། མདུན་ལམ་བཅས་ཀྱི་དོན་གནད།,BO0343,EN0343,"The status of Tibet : history, rights, and prospects in international law",མ་ཡེ་ཁལ་སི་ཝན་ཝལ་ཌ་ཝན་པ་རག,བོད་གཞུང་ཤེས་རིག་རྩོམ་སྒྲིག་ཁང་།,ལོ་རྒྱུས།,དབྱིན་ཡིག,ཤེས་རིག་པར་ཁང་། བཀའ་དྲུང་ཡིག་ཚང་།,1989.0,650,,2814
ཕྱི།,སྡེ་གཞུང་ལུང་རིགས་སྤྲུལ་སྐུ་བྱམས་པ་ཀུན་དགའ་བསྟན་པའི་ཉི་མའི་རྣམ་ཐར།,BO0345,EN0345,A Saint in Seattle: The Life of the Tibetan Mystic Dezhung Rinpoche,Dr. David P. Jackson ངག་དབང་སྐལ་ལྡན། ,Dr. David P. Jackson གདོང་ཐོག་བསྟན་པའི་རྒྱལ་མཚན།,རྣམ་ཐར།,དབྱིན་ཡིག,ས་པཎ་བཤད་སྒྲུབ་གླིང་། ཨ་རི།,2006.0,622,,5868
ཕྱི།,རྒྱུན་ཤེས།,BO0351,EN0351,Common Sense,ཐོ་མ་སེ་པེན། Thomas Paine ,ལྷ་བཟང་ཚེ་་རིང་། པདྨ་འབུམ།,ཆབ་སྲིད།,དབྱིན་ཡིག,ཨ་མྱེས་རྨ་ཆེན་བོད་ཀྱི་རིག་གཞུང་ཞིབ་འཇུག་ཁང༌།,1995.0,249,,1081
ཕྱི།,འཇིགས་ཞུམ་བྲལ་བའི་རང་དབང༌། ,BO0356,EN0356,Freedom from Fear by Aung San Suu Kyi,ཨའུང་སན་སུ་ཅི། ,ཚེ་དབང་དཔལ་མོ་མཁས་གྲུབ།,ལོ་རྒྱུས།,དབྱིན་ཡིག,ཨ་མྱེས་རྨ་ཆེན་བོད་ཀྱི་རིག་གཞུང་ཞིབ་འཇུག་ཁང༌།,1997.0,68,,155
ཕྱི།,བོད་ཀྱི་བུ་མོ། ཕྲེང་རིང་རིན་ཆེན་སྒྲོལ་མའི་མི་ཚེའི་ལོ་རྒྱུས།,BO0360,EN0360,daughter of tibet,ཕྲེང་རིང་རིན་ཆེན་སྒྲོལ་མ། , ཚེ་དབང་རྟ་མགྲིན།,ལོ་རྒྱུས།,དབྱིན་ཡིག,བོད་ཀྱི་དཔེ་མཛོད་ཁང་།,2000.0,438,,1286
ཕྱི།,ཨན་ན་ཁ་རེ་ནེ་ན། ,BO0047,EN0047,Anna Karenina,ཨུ་རུ་སུ། ལེ་འོ་ཐོལ་སུ་ཐེ་ཡི། ,ཀེ་ཐོ།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,ཤེས་བྱ་ཀུན་འདུས་རྩོམ་སྒྲིག་ལྟེ་གནས། དྷ་རམ་ས་ལ།,2004.0,200,,531
ཕྱི།,རྡུལ་ཕྲན་གཅིག་ཁོ་ནའི་སྟེང་གི་འཇིག་རྟེན།,BO0372,EN0372,The Universe in a Single Atom,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,བསྟན་འཛིན་རིག་བཟང་།,ནང་པའི་ཚན་རིག,དབྱིན་ཡིག,སྒེར་གྱི་པར་མ།,2008.0,317,,1079
ཕྱི།,ཕ་ཡིས་རང་གི་བུ་མོ་ལ་སྤྲིངས་པའི་འཕྲིན་ཚོགས།,BO0375,EN0375,letters from a father to his daughter,པཎྜིཏ་འཇོ་ཧར་ལཱལ་ནེཧ་རུ།,ལྷ་ལུང་པ་བློ་བཟང་ཕུན་ཚོགས། ར་ཎི་ཆོས་ཉིད་དབང་མོ་རྡོ་རྗེ།,སློབ་གསོ།,དབྱིན་ཡིག,རྒྱ་གར་གཞུང་གསར་སྤེལ་ལས་ཁུངས། སྒང་ཏོག,,173,,801
ཕྱི།,སྟོན་པའི་མཛད་རྣམ་གསལ་བའི་མེ་ལོང༌།,BO0376,EN0376,The life of the buddha,rev siridhamma གནས་བརྟན་སཱི་རི་དྷམ།,ངེས་དོན་རྒྱ་མཚོ།,རྣམ་ཐར།,དབྱིན་ཡིག,བོད་ཀྱི་དཔེ་མཛོད་ཁང་།,2009.0,264,,1780
ཕྱི།,མཉམ་འབྲེལ་རྒྱལ་ཚོགས་ཀྱིས་སྙུགས་སྲིང་སྟེ་བོད་ཀྱི་པཎ་ཆེན་རིན་པོ་ཆེ་བཙལ་བ།,BO0378,EN0378,,བྲག་དམར་ངག་དབང་ཆོས་འཕེལ།,བསྟན་འཛིན་དོན་ཡོད།,ཆབ་སྲིད།,དབྱིན་ཡིག,འགྲོ་བ་མིའི་ཐོབ་ཐབ་དང་དམངས་གཙོ་འཕེལ་རྒྱས་ལྟེ་གནས་ཁང་།,2020.0,,,276
ཕྱི།,རང་བཙན། བོད་ཀྱི་གནད་དོན།,BO0380,EN0380, Rangzen Charter: The case of Tibetan Independence,འཇམ་དབྱངས་ནོར་བུ། ,མི་ནག་ཚང་ལུང་རིགས་རྒྱལ།,ཆབ་སྲིད།,དབྱིན་ཡིག,བོད་རང་བཙན་སློབ་ཕྲུག་ཚོགས་པ། དྷ་རམ་སཱ་ལ།,2010.0,26,,154
ཕྱི།,སྦས་དོན་གྱི་ཕྱོགས་ཆ།  དངོས་ཁམས་རིག་པ་དང་རྣམ་ཤེས་གཅིག་ཏུ་སྒྲིལ་བ། ,BO0384,EN0384,the unification of physics and consciousness,སྦི་ཨེ་ལེན་ཝེ་ལེ་སེ། ,ཉི་མ་རྒྱལ་མཚན།,ཚན་རིག,དབྱིན་ཡིག,བོད་ཀྱི་དཔེ་མཛོད་ཁང་།,2011.0,210,,1687
ཕྱི།,སེམས་དང་ཚེ་སྲོག ,BO0085,EN0085,Mind and life,Pier Luigi and Zara Houshand ,བསྟན་འཛིན་རིག་བཟང༌།,ཚན་རིག,དབྱིན་ཡིག,སྐུ་སྒེར་ཡིག་ཚང༌། དྷ་རམ་ས་ལ།,2011.0,328,,3577
ཕྱི།,མི་རིགས་ནག་པོའི་རང་དབང་འཐབ་རྩོད་པ་མར་ཊིན་ལུ་ཐར་ཀིང་གི་མི་ཚེའི་བྱུང་བ་བརྗོད་པ།,BO0388,EN0388,The Life and Words of Martin Luther King Jr By Ira peck,ཨི་ར་པེག , བུདྷ་སྐྱབས། ,ལོ་རྒྱུས།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2011.0,127,,1281
ཕྱི།,ཏཱ་ལའི་བླ་མ་སྐུ་ཕྲེང་བཅུ་གསུམ་པ་མཆོག,BO0389,EN0389,The Thirteenth Dalai Lama,Tokan Tada ཉི་ཧོང་པ་ཊོཀན་ཊཱདྷཱ། ,བསྟན་འཛིན་རྒྱལ་མཚན།,ལོ་རྒྱུས།,དབྱིན་ཡིག,བོད་ཀྱི་དཔེ་མཛོད་ཁང་།,2011.0,128,,925
